"AVENIDA CALLCENTER","TURNO CORRIDO 11:00 AM  A 7:00 PM","TCOR","11:00:00","19:00:00",NULL
"AVENIDA CALLCENTER","TURNO CORRIDO 11:00 AM A 9:00 PM","TCOR","11:00:00","21:00:00",NULL
"AVENIDA CALLCENTER","TURNO CORRIDO 12:00 PM A 9:00 PM","TCOR","12:00:00","21:00:00",NULL
"AVENIDA CALLCENTER","PARTIDO 11:00AM  A 2:00 PM","PART","11:00:00","14:00:00",NULL
"AVENIDA CALLCENTER","PARTIDO CIERRE 6:00 PM A 9:00 PM","PART","18:00:00","21:00:00",NULL
"AVENIDA CALLCENTER","PARTIDO CIERRE 7:00 PM A 9:00 PM","PART","18:00:00","21:00:00",NULL
"AVENIDA CALLCENTER","PARTIDO CIERRE 6:00 PM A 9:30 PM","PART2","18:00:00","21:30:00",NULL
"AVENIDA CALLCENTER","PARTIDO CIERRE  7:00 PM A 9:30 PM","PART2","19:00:00","21:30:00",NULL
"AVENIDA CALLCENTER","PARTIDO DESPACHOS  11:00 AM A 2:00 PM","PART DESP","11:00:00","14:00:00",NULL
"AVENIDA CALLCENTER","DESPACHOS CIERRE 6:00 PM A 10: PM","DESP CIERRE","18:00:00","22:00:00",NULL
"AVENIDA CALLCENTER","DESPACHOS  2:00 PM A 10:00 PM","DESP","14:00:00","22:00:00",NULL
"AVENIDA CALLCENTER","TURNO CORRIDO 11:00 AM A 9:30 PM","TCOR","11:00:00","21:30:00",NULL
"AVENIDA CALLCENTER","TURNO CORRIDO 12:00 PM A 9:30 PM","TCOR","12:00:00","21:30:00",NULL
"AVENIDA CALLCENTER","TURNO CORRIDO 11:00 AM A 8:00 PM","TCOR","11:00:00","20:00:00",NULL
"AVENIDA CALLCENTER","PARTIDO CIERRE 6:30 PM A 9:30 PM","PART","18:30:00","21:30:00",NULL
"AVENIDA CALLCENTER","TURNO CORRIDO 9:00 AM A 5:00 PM","TCOR","09:00:00","17:00:00",NULL
"AVENIDA CALLCENTER","DESPACHOS 1:00 PM A 10:00 PM","DESP","13:00:00","22:00:00",NULL
"AVENIDA CALLCENTER","DESCANSO","DESC","11:00:00","19:00:00",NULL
"AVENIDA CALLCENTER","TURNO CORRIDO 1:00 PM A 9:30 PM","TCOR2","13:00:00","21:30:00",NULL
"AVENIDA CALLCENTER","TURNO CORRIDO 2:00 PM A 9:00 PM",NULL,"14:00:00","21:00:00",NULL
"AVENIDA CALLCENTER","TURNO CORRIDO 2:00 PM A 6:00 PM",NULL,"14:00:00","18:00:00",NULL
"AVENIDA CALLCENTER","TURNO CORRIDO 11:00 PM A 3:00 PM","TCOR2","11:00:00","15:00:00",NULL
"AVENIDA CALLCENTER","PAGO DE HORAS","PAGHOR","11:00:00","19:00:00","0"
"AVENIDA CALLCENTER","INCAPACIDAD","INCAPA","11:00:00","19:00:00","0"
"DOMICILIO","PARTIDO DESPACHOS 11:00 AM A 2:00 PM","PARTDESP","11:00:00","14:00:00",NULL
"DOMICILIO","OFICINA 9:00 AM-5:00 PM","OFIC","09:00:00","17:00:00",NULL
"DOMICILIO","PARTIDO 11:00 AM - 2:00 PM","parti","11:00:00","14:00:00",NULL
"DOMICILIO","PARTIDO 11:00 AM A 3:00 PM","PART2","11:00:00","15:00:00",NULL
